module,revisions,code
src/components/ContentFlow/ContentDetail/ContentFlowDetail.test.js,3,21
src/components/Activities/Activities.js,3,58
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.js,3,25
src/components/Login/Login.test.js,3,21
src/utils/operatingSystem.test.js,3,26
src/components/TabMenu/TabMenu.scss,3,39
src/components/SearchResults/index.js,3,1
src/components/Feedback/index.js,3,1
src/components/Search/Pagination.test.js,3,37
src/connectors/withSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,3,22
src/components/ContentFlow/ContentDetail/ContentFlowDetail.js,3,13
src/clients/featureToggleClient.js,3,8
src/actions/tabActions.test.js,3,26
src/selectors/activitiesSelector.js,3,29
src/actions/tabActions.js,3,20
src/i18n.js,3,28
src/components/Login/Login.js,3,39
src/components/ApplicationError/ApplicationError.scss,3,39
src/constants/Activities.js,3,49
src/components/NotFound/NotFound.test.js,3,29
src/components/Activities/Activity.test.js,3,49
src/components/SearchResults/CardView/CardView.test.js,3,27
src/components/Content/ContentDetail/contentTransforms.test.js,3,65
src/actions/activitiesActions.test.js,3,32
src/reducers/activityStatusReducers.test.js,3,62
src/components/Content/BookmarkList/BookmarkList.test.js,2,27
src/selectors/tabSelector.test.js,2,34
src/constants/healthStates.js,2,5
src/components/Content/AlertList/AlertList.js,2,21
src/actions/authenticationActions.js,2,12
src/selectors/helixStateSelector.test.js,2,19
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.test.js,2,53
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.test.js,2,19
src/components/SearchResults/CardView/ResultCard/Footer.js,2,31
src/actions/authenticationActions.test.js,2,15
src/middleware/triageMiddleware.test.js,2,30
src/components/Content/Landing/Landing.js,2,9
src/components/Activities/Activities.scss,2,98
src/selectors/tabSelector.js,2,16
src/selectors/helixStateSelector.js,2,13
src/reducers/healthReducer.js,2,12
src/reducers/technicianReducer.test.js,2,85
src/selectors/userSelector.test.js,2,11
src/reducers/healthReducer.test.js,2,18
src/components/Loading/index.js,2,1
src/selectors/featureToggleSelector.js,2,2
src/reducers/authenticationReducer.js,2,12
src/reducers/helixStateReducer.test.js,2,27
src/reducers/technicianReducer.js,2,91
src/reducers/authenticationReducer.test.js,2,16
src/components/Login/Login.scss,2,79
src/components/Content/Landing/Landing.test.js,2,13
src/selectors/healthSelector.js,2,14
src/components/Login/index.js,2,1
src/components/Content/GeneralFeedback/GeneralFeedback.test.js,2,13
src/components/BookmarkPanel/BookmarkPanel.js,2,68
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.test.js,2,104
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.js,2,13
src/reducers/helixStateReducer.js,2,22
src/clients/sharedWorkerEventBusClient.js,2,30
src/reducers/session.test.js,2,16
src/clients/featureToggleClient.test.js,2,11
src/components/Header/index.js,2,2
src/actions/featureActions.js,2,8
src/components/BookmarkPanel/BookmarkPanel.test.js,2,38
src/middleware/featureToggleMiddleware.test.js,2,35
src/components/Search/Pagination.scss,2,45
src/actions/technicianActions.js,2,17
src/utils/operatingSystem.js,2,9
tools/test.js,2,18
src/middleware/swebOutMiddleware.js,2,11
src/middleware/supportSessionMiddleware.test.js,2,47
src/actions/helixStateActions.test.js,2,16
src/components/Search/ResultsCounter.test.js,2,42
src/components/SearchResults/CardView/ResultCard/index.js,2,2
src/middleware/activitiesMiddleware.js,2,42
locales/en-US/login.json,2,4
src/components/Content/AlertList/AlertList.test.js,2,42
src/reducers/featureToggleReducer.js,2,9
src/components/SearchResults/CardView/ResultCard/Footer.test.js,2,28
src/actions/sharedWorkerEventBusActions.test.js,2,9
src/selectors/analyticStateSelector.js,2,13
src/components/Content/BookmarkList/BookmarkList.js,2,42
src/components/Activities/Activities.test.js,2,22
src/selectors/routeSelector.js,2,13
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.js,2,131
src/clients/__mocks__/algoliasearch.js,2,25
src/middleware/searchMiddleware.test.js,2,53
src/selectors/routeSelector.test.js,2,19
src/middleware/featureToggleMiddleware.js,2,19
src/selectors/featureToggleSelector.test.js,2,18
src/middleware/searchMiddleware.js,2,51
src/components/Content/GeneralFeedback/GeneralFeedback.js,2,15
src/actions/technicianActions.test.js,2,25
src/actions/helixStateActions.js,2,12
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.test.js,2,43
src/components/Content/ContentHeader/ContentHeader.js,2,14
src/reducers/contentFlowReducer.test.js,2,25
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.js,2,117
src/reducers/featureToggleReducer.test.js,2,21
src/components/Content/ContentHeader/ContentHeader.test.js,2,18
src/selectors/userSelector.js,2,7
src/clients/dapulseClient.test.js,2,38
src/reducers/contentFlowReducer.js,2,17
src/selectors/healthSelector.test.js,2,21
src/components/Header/HeaderTasks.scss,2,24
src/components/TabMenu/Tab.test.js,2,12
src/types.js,2,4
src/utils/eventBusWorker/onconnect.js,2,9
src/utils/form/semanticFormField.js,2,72
src/middleware/activitiesMiddleware.test.js,2,49
src/actions/featureActions.test.js,2,11
src/clients/sharedWorkerEventBusClient.test.js,1,24
src/connectors/withSharedWorkerEventBus/index.js,1,1
src/components/Content/Landing/index.js,1,1
src/utils/routeDecorators.test.js,1,21
src/middleware/swebInMiddleware.test.js,1,19
src/components/Dashboard/index.js,1,1
src/actions/sessionActions.js,1,7
src/clients/__mocks__/mixpanel-browser.js,1,8
src/middleware/contentTabsMiddleware.test.js,1,25
src/__mocks__/react-cookie.js,1,4
locales/en-US/contentTypes.json,1,4
src/utils/form/semanticFormField.test.js,1,30
src/components/Activities/OnExDeviceInfo.js,1,146
src/__mocks__/mixpanelMiddleware.js,1,2
