language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.74  T=1.62 s (205.8 files/s, 11285.7 lines/s)"
JavaScript,./src/components/ContentTabs/ContentTabs.test.js,9,1,57
JavaScript,./test/features/support/environmentConfig.js,6,1,56
JavaScript,./src/components/Search/ResultsCounter.js,8,4,55
JavaScript,./src/selectors/socoSelector.js,8,1,54
JavaScript,./src/models/technician.js,3,1,54
JavaScript,./src/middleware/initializationMiddleware.js,3,1,53
JavaScript,./src/middleware/searchMiddleware.test.js,7,1,53
JavaScript,./src/components/ApplicationError/ApplicationError.js,7,1,53
Bourne Shell,./test/features/support/qtest/parse-qtest.sh,1,0,53
JavaScript,./src/components/Content/ContentDetail/ContentFeatures/ShareFeature.test.js,9,1,53
JavaScript,./src/middleware/searchMiddleware.js,3,0,51
JavaScript,./src/components/Activities/Activity.test.js,11,1,49
Sass,./src/components/KnowledgeAlerts/KnowledgeAlerts.scss,8,0,49
Sass,./src/components/Content/Content.scss,9,0,49
JavaScript,./src/constants/Activities.js,11,1,49
JavaScript,./src/middleware/activitiesMiddleware.test.js,3,3,49
JavaScript,./src/clients/technicianClient.test.js,5,1,48
JavaScript,./src/components/Header/Header.js,8,1,48
JavaScript,./src/components/NotFound/NotFound.js,7,1,48
JavaScript,./src/littleroutes.js,5,0,47
JavaScript,./src/middleware/supportSessionMiddleware.test.js,7,1,47
JavaScript,./src/constants/actionNames.js,1,1,46
JavaScript,./src/components/SearchBox/SearchBox.test.js,9,1,46
JavaScript,./src/components/SearchResults/SearchResults.test.js,9,1,46
Sass,./src/components/Search/Pagination.scss,9,0,45
JavaScript,./src/reducers/activityStatusReducers.js,9,1,44
JavaScript,./src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.test.js,7,1,43
JavaScript,./src/components/Dashboard/Dashboard.test.js,10,1,43
Sass,./src/components/ContentTabs/ContentTabs.scss,7,1,42
JavaScript,./src/middleware/activitiesMiddleware.js,2,1,42
JavaScript,./src/components/Content/BookmarkList/BookmarkList.js,6,1,42
JavaScript,./src/components/Search/ResultsCounter.test.js,7,1,42
JavaScript,./src/utils/carrier.js,3,1,42
JavaScript,./src/components/Content/AlertList/AlertList.test.js,4,1,42
JavaScript,./src/reducers/routeStateReducer.js,6,1,42
JavaScript,./src/selectors/searchSelector.test.js,7,1,41
Sass,./src/components/NotFound/NotFound.scss,5,0,40
JavaScript,./src/selectors/searchSelector.js,7,1,40
Sass,./src/components/TabMenu/TabMenu.scss,4,0,39
Sass,./src/components/ApplicationError/ApplicationError.scss,5,0,39
JavaScript,./src/components/Login/Login.js,5,1,39
JavaScript,./src/utils/client.js,2,1,39
JavaScript,./src/clients/gapiClient.test.js,6,1,39
JavaScript,./src/components/BookmarkPanel/BookmarkPanel.test.js,4,1,38
JavaScript,./src/clients/dapulseClient.test.js,8,1,38
JavaScript,./src/selectors/socoSelector.test.js,6,1,37
JavaScript,./src/components/Search/Pagination.test.js,3,1,37
JavaScript,./src/components/SearchResults/SearchResults.js,7,1,37
JavaScript,./src/components/Activities/OnExDeviceInfo.test.js,9,1,37
JavaScript,./src/middleware/triageMiddleware.js,4,1,36
JavaScript,./test/features/step_definitions/soluto-helix.js,1,0,36
JavaScript,./src/clients/socoConfigClient.js,7,1,36
JavaScript,./src/clients/analyticsClient.test.js,5,1,36
JavaScript,./src/components/KnowledgeAlerts/KnowledgeAlert.test.js,7,1,35
Sass,./src/components/SearchBox/SearchBox.scss,6,0,35
JavaScript,./src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.js,8,4,35
JavaScript,./src/components/Search/Pagination.js,5,1,35
JavaScript,./src/middleware/featureToggleMiddleware.test.js,7,1,35
Sass,./src/components/BookmarkPanel/BookmarkPanel.scss,6,0,35
JavaScript,./src/selectors/tabSelector.test.js,8,1,34
Sass,./src/components/HelixTabs/HelixTabs.scss,4,1,32
JavaScript,./src/actions/activitiesActions.test.js,4,1,32
JavaScript,./src/components/SearchResults/CardView/ResultCard/Footer.js,4,1,31
JavaScript,./src/middleware/analyticsMiddleware.js,5,1,30
JavaScript,./src/middleware/triageMiddleware.test.js,5,1,30
JavaScript,./src/utils/form/semanticFormField.test.js,4,1,30
JavaScript,./src/utils/eventBusWorker/onmessage.js,2,1,30
JavaScript,./src/clients/sharedWorkerEventBusClient.js,6,6,30
JavaScript,./src/actions/searchActions.test.js,3,1,30
JavaScript,./src/clients/gapiClient.js,8,2,30
JavaScript,./src/selectors/activitiesSelector.js,4,0,29
JavaScript,./src/components/ApplicationError/ApplicationError.test.js,7,1,29
JavaScript,./src/components/NotFound/NotFound.test.js,7,1,29
JavaScript,./src/actions/searchActions.js,3,1,29
JavaScript,./src/clients/bitlyClient.test.js,3,1,28
JavaScript,./src/components/SearchResults/CardView/ResultCard/Footer.test.js,3,1,28
JavaScript,./src/i18n.js,8,1,28
JSON,./locales/en-US/feedback.json,0,0,28
JavaScript,./src/components/Header/Header.test.js,5,1,28
JavaScript,./src/middleware/initializationMiddleware.test.js,6,1,28
