entity,main-dev,added,total-added,ownership
src/clients/sharedWorkerEventBusClient.test.js,Gary Paige,31,31,1
src/clients/socoConfigClient.js,Gary Paige,35,72,0.49
src/clients/socoConfigClient.test.js,Daniel Nalbach,27,44,0.61
src/clients/technicianClient.js,Jeff Tougas,75,103,0.73
src/clients/technicianClient.test.js,Jeff Tougas,44,100,0.44
src/components/Activities/Activities.js,Ginu Philip Simon,67,68,0.99
src/components/Activities/Activities.scss,Ginu Philip Simon,104,104,1
src/components/Activities/Activities.test.js,Ginu Philip Simon,29,30,0.97
src/components/Activities/Activity.js,Ginu Philip Simon,130,132,0.98
src/components/Activities/Activity.test.js,Ginu Philip Simon,62,63,0.98
src/components/Activities/OnExDeviceInfo.js,Ginu Philip Simon,157,157,1
src/components/Activities/OnExDeviceInfo.test.js,Ginu Philip Simon,47,47,1
src/components/Activities/index.js,Ginu Philip Simon,2,2,1
src/components/ApplicationError/ApplicationError.js,Gary Paige,81,82,0.99
src/components/ApplicationError/ApplicationError.scss,Gary Paige,48,48,1
src/components/ApplicationError/ApplicationError.test.js,Gary Paige,43,43,1
src/components/ApplicationError/index.js,Gary Paige,2,2,1
src/components/BookmarkPanel/BookmarkPanel.js,Gary Paige,80,80,1
src/components/BookmarkPanel/BookmarkPanel.scss,Gary Paige,41,41,1
src/components/BookmarkPanel/BookmarkPanel.test.js,Gary Paige,44,44,1
src/components/Content/AlertList/AlertList.js,Gary Paige,26,26,1
src/components/Content/AlertList/AlertList.scss,Gary Paige,11,11,1
src/components/Content/AlertList/AlertList.test.js,Gary Paige,48,48,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.js,Gary Paige,147,147,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.scss,Gary Paige,181,181,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.test.js,Gary Paige,121,121,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.js,Gary Paige,176,176,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,Gary Paige,161,161,1
src/components/Content/BookmarkList/BookmarkCard/index.js,Gary Paige,4,4,1
src/components/Content/BookmarkList/BookmarkList.js,Gary Paige,50,50,1
src/components/Content/BookmarkList/BookmarkList.scss,Gary Paige,17,17,1
src/components/Content/BookmarkList/BookmarkList.test.js,Gary Paige,33,33,1
src/components/Content/Content.js,Gary Paige,441,799,0.55
src/components/Content/Content.scss,Gary Paige,99,139,0.71
src/components/Content/Content.test.js,Gary Paige,143,221,0.65
src/components/Content/ContentDetail/ContentDetail.js,Gary Paige,275,293,0.94
src/components/Content/ContentDetail/ContentDetail.scss,Gary Paige,530,530,1
src/components/Content/ContentDetail/ContentDetail.test.js,Gary Paige,198,235,0.84
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.js,Gary Paige,33,33,1
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.test.js,Gary Paige,52,52,1
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.js,Gary Paige,19,19,1
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.test.js,Gary Paige,24,24,1
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.js,Gary Paige,135,135,1
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.test.js,Gary Paige,64,64,1
src/components/Content/ContentDetail/ContentFeatures/index.js,Gary Paige,6,6,1
src/components/Content/ContentDetail/contentTransforms.js,Gary Paige,70,71,0.99
src/components/Content/ContentDetail/contentTransforms.test.js,Gary Paige,76,77,0.99
src/components/Content/ContentHeader/ContentHeader.js,Gary Paige,19,19,1
src/components/Content/ContentHeader/ContentHeader.scss,Gary Paige,24,24,1
src/components/Content/ContentHeader/ContentHeader.test.js,Gary Paige,23,23,1
src/components/Content/ContentHeader/index.js,Gary Paige,1,1,1
src/components/Content/DrawerContainer/AlertList/AlertList.js,Gary Paige,33,33,1
src/components/Content/DrawerContainer/AlertList/AlertList.scss,Gary Paige,12,12,1
src/components/Content/DrawerContainer/AlertList/AlertList.test.js,Gary Paige,51,51,1
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCard.js,Jeff Tougas,99,197,0.5
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCard.scss,Jeff Tougas,153,182,0.84
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCard.test.js,Jeff Tougas,63,127,0.5
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.js,Daniel Nalbach,199,201,0.99
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,Daniel Nalbach,168,168,1
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/index.js,Jeff Tougas,4,4,1
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.js,Jeff Tougas,39,68,0.57
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.scss,Gary Paige,11,17,0.65
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.test.js,Jeff Tougas,31,34,0.91
