entity,n-authors,n-revs
src/components/SearchResults/index.js,3,3
src/components/SearchResults/ListView/ResultList/ResultList.scss,3,3
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.scss,2,17
src/components/SearchBox/SearchBox.scss,2,16
src/components/KnowledgeAlerts/KnowledgeAlerts.js,2,14
test/features/pages/soluto-helix-page.js,2,13
src/components/Content/Content.scss,2,12
src/components/SearchResults/ResultCard/ResultCard.scss,2,12
src/components/LaunchKana/LaunchKana.scss,2,11
src/components/Dashboard/Dashboard.test.js,2,11
test/features/soluto-helix.feature,2,10
src/reducers/routeStateReducer.test.js,2,9
src/components/KnowledgeAlerts/KnowledgeAlerts.scss,2,9
src/reducers/routeStateReducer.js,2,8
src/constants/actionTypes.js,2,8
src/components/LaunchKana/LaunchKana.js,2,8
src/components/MostRecent/MostRecent.js,2,8
scripts/build.sh,2,7
Dockerfile,2,7
src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,2,7
src/components/TabMenu/TabMenu.js,2,7
src/components/Dashboard/Dashboard.scss,2,7
src/utils/eventBusWorker/index.js,2,6
src/components/Content/DrawerContainer/ContentDetail/contentTransforms.js,2,6
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.js,2,6
src/components/Content/DrawerContainer/ContentDetail/contentTransforms.test.js,2,6
src/components/Content/ContentDetail/ContentDetail.test.js,2,6
src/clients/algoliaClient.js,2,6
src/components/HelixTabs/HelixTabs.js,2,6
src/middleware/algoliaClient.test.js,2,6
src/middleware/initializationMiddleware.js,2,6
src/selectors/pathBuilderSelector.js,2,5
src/index.css,2,5
env/features_dev.json,2,5
src/actions/healthActions.js,2,5
src/constants/actionNames.js,2,5
src/components/KnowledgeAlerts/KnowledgeAlert.test.js,2,5
src/components/MostRecent/MostRecent.test.js,2,5
src/actions/activitiesActions.js,2,5
src/middleware/technicianMiddleware.js,2,5
src/components/LaunchKana/index.js,2,5
src/App.scss,2,5
src/components/Content/ContentDetail/ContentDetail.js,2,5
src/selectors/searchSelector.test.js,2,5
src/clients/gapiClient.js,2,5
locales/en/common.json,2,5
src/middleware/mixpanelDispatcher.test.js,2,5
src/middleware/algoliaClient.js,2,5
src/middleware/swebInMiddleware.js,2,5
tools/jest/jestSetup.js,2,5
src/components/HelixTabs/HelixTabs.scss,2,5
src/selectors/searchSelector.js,2,5
src/components/ApplicationError/ApplicationError.js,2,5
src/clients/mixpanelClient.js,2,4
src/store.test.js,2,4
package-lock.json,2,4
src/actions/sessionActions.test.js,2,4
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.scss,2,4
src/connectors/connectSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,2,4
src/components/Content/index.css,2,4
src/components/HelixTabs/HelixTabsContainer.js,2,4
src/components/Activities/Activity.js,2,4
src/components/LaunchKana/LaunchKana.test.js,2,4
src/components/MostViewed/MostViewed.scss,2,4
src/selectors/socoSelector.js,2,4
src/middleware/supportSessionMiddleware.js,2,4
src/middleware/authenticationMiddleware.test.js,2,4
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.js,2,4
src/middleware/authenticationMiddleware.js,2,4
src/router.js,2,4
src/styles/icons.scss,2,4
src/middleware/helixTabMiddleware.test.js,2,4
src/connectors/withErrors/ErrorHandler.test.js,2,4
src/middleware/contentFlowMiddleware.js,2,4
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.test.js,2,4
src/actions/healthActions.test.js,2,4
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,2,4
src/components/HelixTabs/HelixTabs.test.js,2,4
src/components/NotFound/NotFound.test.js,2,3
src/clients/analyticsClient.test.js,2,3
src/utils/eventBusWorker/__mocks__/index.js,2,3
src/components/HelixTabs/HelixTabsContainer.test.js,2,3
src/connectors/connectSharedWorkerEventBus/index.js,2,3
src/clients/featureToggleClient.js,2,3
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.js,2,3
src/components/Activities/Activity.test.js,2,3
src/i18n.js,2,3
src/reducers/health.test.js,2,3
src/clients/mixpanelClient.test.js,2,3
.gitignore,2,3
src/reducers/session.js,2,3
src/selectors/socoSelector.test.js,2,3
src/components/Content/ContentDetail/contentTransforms.test.js,2,3
src/components/ContentFlow/ContentDetail/ContentFlowDetail.js,2,3
src/utils/operatingSystem.test.js,2,3
src/components/Feedback/index.js,2,3
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.test.js,2,3
src/components/HelixTabs/HelixSearchContainer.js,2,3
src/i18n.test.js,2,3
src/components/HelixTabs/HelixSearchContainer.test.js,2,3
src/models/technician.js,2,3
src/middleware/analyticsDispatcher.js,2,3
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.scss,2,3
src/components/TabMenu/Tab.js,2,3
src/searchFilters/SelectFieldRefinementList/index.js,2,3
src/components/ContentFlow/ContentDetail/ContentFlowDetail.test.js,2,3
src/reducers/health.js,2,3
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.scss,2,3
src/middleware/__mocks__/algoliasearch.js,2,3
src/components/Activities/Activities.js,2,3
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,2,3
src/components/Content/ContentDetail/contentTransforms.js,2,3
src/components/SearchResults/CardView/CardView.test.js,2,3
src/components/searchFilters/index.js,2,2
